original,trans_nl,dutch,class_en
stenige leem,stenige leem,stenig leem,stony loam
lemig zand,lemig zand,lemig zand,loamy sand
leem,leem,"leemarm, zeer fijn tot matig fijn zand",loam
zand,zand,zand,sand
zandleem,zandleem,zandig leem,sandy loam
klei,klei,klei,clay
licht zandleem,licht zandleem,zandig leem,sandy loam
stenige leem + zand,stenige leem + zand,stenig leem,stony loam
veen,veen,veen,peat
"brongebieden: variatie van textuur, draingeringstoestand en profielontwikkeling op korte afstand","brongebieden: variatie van textuur, draingeringstoestand en profielontwikkeling op korte afstand",stenig leem,stony loam
Sols sableux ou limono-sableux à drainage naturel excessif ou légèrement excessif,Zandige of zandige leemgronden met overmatige of licht overmatige natuurlijke drainage,zandig leem,sandy loam
Sols tourbeux ou tourbières,Veengronden of moerassen,veen,peat
Sols sableux ou limono-sableux à drainage naturel principalement modéré ou imparfait,Zandige of zandige leemgronden met overwegend matige of onvolmaakte natuurlijke drainage,zandig leem,sandy loam
Sols limoneux à drainage naturel favorable,Leemachtige bodems met gunstige natuurlijke drainage,leem,loam
Sols limoneux à drainage naturel modéré ou imparfait,Leemachtige bodems met matige of onvolmaakte natuurlijke drainage,leem,loam
Sols limoneux à drainage naturel assez pauvre à très pauvre,Leemachtige bodems met een tamelijk slechte tot zeer slechte natuurlijke afwatering,leem,loam
Sols limoneux peu caillouteux à drainage naturel favorable,Licht steenachtige leembodems met gunstige natuurlijke afwatering,stenig leem,stony loam
Sols argileux à drainage naturel favorable ou imparfait,Kleigronden met gunstige of onvolmaakte natuurlijke drainage,klei,clay
Sols argileux à drainage naturel assez pauvre à très pauvre,Kleigronden met tamelijk slechte tot zeer slechte natuurlijke drainage,klei,clay
Sols limoneux peu caillouteux à drainage naturel principalement modéré à assez pauvre,Licht steenachtige leemgronden met overwegend matige tot tamelijk slechte natuurlijke drainage,stenig leem,stony loam
Sols limono-caillouteux à charge schisto-gréseuse ou gréseuse et à drainage naturel modéré à assez pauvre,Leemachtige steenachtige bodems met een schalie-zandsteen- of zandsteenbelasting en matige tot tamelijk slechte natuurlijke drainage,stenig leem,stony loam
Sols limono-caillouteux à charge schisto-gréseuse ou gréseuse et à drainage naturel favorable,Leemachtige steenachtige bodems met schalie-zandsteen- of zandsteenbelasting en gunstige natuurlijke drainage,stenig leem,stony loam
Sols limono-caillouteux à charge psammitique ou schisto-psammitique et à drainage naturel principalement favorable,Leem-steenachtige bodems met een psammitische of schistopsammitische belasting en overwegend gunstige natuurlijke drainage,stenig leem,stony loam
Sols limono-caillouteux à charge schisteuse et à drainage naturel principalement favorable,Leemachtige steenachtige bodems met een schaliebelasting en overwegend gunstige natuurlijke drainage,stenig leem,stony loam
Sols limono-caillouteux à charge calcaire et à drainage naturel quasi-exclusivement favorable,Leemachtige steenachtige bodems met kalksteenbelasting en vrijwel uitsluitend gunstige natuurlijke drainage,stenig leem,stony loam
Sols limono-caillouteux à charge de silexite ou de gravier ou de conglomérat et à drainage naturel principalement favorable,"Leemachtige steenachtige bodems met een belasting van vuursteen, grind of conglomeraat en met overwegend gunstige natuurlijke afwatering",stenig leem,stony loam
Regroupement de complexes de sols de textures différentes ou sur fortes pentes et de sols de fonds de vallons limoneux ou rocailleux,Groepering van complexen van bodems met verschillende texturen of op steile hellingen en bodems van leemachtige of rotsachtige valleibodems,stenig leem,stony loam
Sols artificiels ou non cartographiés,Kunstmatige of niet in kaart gebrachte bodems,"geen klasse, bebouwing",no class
tonig-schluffig,kleiachtig-siltig,siltige klei leem,silty clay loam
sandig-schluffig,zandig-siltig,siltig leem,silt loam
lehmig-sandig,leem-zandig,lemig zand,loamy sand
sandig,zanderig,zand,sand
organisch,organisch,veen,peat
feinbodenarm,arm aan fijne grond,"geen klasse, bebouwing",no class
stark lehmig-sandig,zeer leemachtig zandig,zandig leem,sandy loam
tonig-lehmig,kleiachtig-leemachtig,klei leem,clay loam
lehmig-tonig,leemachtig-kleiachtig,klei,clay
zware zavel,zware zavel,klei leem,clay loam
siltige leem,siltige leem,siltige leem,silt loam
zandige leem,zandige leem,zandig leem,sandy loam
matig lichte zavel,matig lichte zavel,leem,loam
"leemarm, zeer fijn tot matig fijn zand","leemarm, zeer fijn tot matig fijn zand",zand,sand
"zwak lemig, zeer fijn tot matig fijn zand","zwak lemig, zeer fijn tot matig fijn zand",lemig zand,loamy sand
matig zware klei,matig zware klei,klei,clay
lichte klei,lichte klei,klei leem,clay loam
venige klei,venige klei,venig klei,peaty clay
"sterk lemig, zeer fijn tot matig fijn zand","sterk lemig, zeer fijn tot matig fijn zand",zandig leem,sandy loam
grof zand,grof zand,zand,sand
zeer zware klei,zeer zware klei,klei,clay
kleiig veen,kleiig veen,veen,peat
venig zand,venig zand,venig zand,peaty sand
zandig veen en veen,zandig veen en veen,veen,peat
NA,,"geen klasse, bebouwing",no class
